"","county","state","pollingplaces","pppcapita","peopleppp","plean","Totalpopulation","pctWhite","pctBlackorAfricanAmerican","pctHispanicorLatino(ofanyrace)","pctNotHispanicorLatino","Citizen,18andoverpopulation","pctUnemploymentRate","Meantraveltimetowork(minutes)","pctLessthan$10,000","pct$10,000to$14,999","pct$15,000to$24,999","pct$25,000to$34,999","pct$35,000to$49,999","pct$50,000to$74,999","pct$75,000to$99,999","pct$100,000to$149,999","pct$150,000to$199,999","pct$200,000ormore","Medianhouseholdincome(dollars)","Meanhouseholdincome(dollars)","Percapitaincome(dollars)","pctFamiliesIncomeBelowPoverty","pctPeopleIncomeBelowPoverty","pctLessthan9thgrade","pct9thto12thgrade,nodiploma","pctHighschoolgraduate(includesequivalency)","pctSomecollege,nodegree","pctAssociate'sdegree","pctBachelor'sdegree","pctGraduateorprofessionaldegree","pctHighschoolgraduateorhigher","pctBachelor'sdegreeorhigher","pctNative","pctForeignborn","popdensity","id","region"
"431","FULTON","PA",13,0.00112925642807505,885.538461538462,-36.1943687556767,14506,96.4,2.1,0.5,99.5,11512,5.6,32.4,6.6,5.2,10.5,10.5,16,20.6,15,11,2.8,1.7,51259,61775,26082,8.5,11.4,3.7,9,52.2,14.2,7.5,7.4,6.1,87.3,13.4,99.2,0.8,33.15268,"0500000US42057","Northeast"
"432","FURNAS","NE",8,0.00217450394128839,459.875,-36.3370786516854,4786,96.5,0.1,4,96,3679,2.1,13.7,8.1,5.2,10.2,10.4,19.4,17.7,12.1,12,2.3,2.6,47989,60805,27031,7.2,10.9,3.4,8,33.2,25.4,11,15.3,3.6,88.6,18.9,98.1,1.9,6.655249,"0500000US31065","Midwest"
"433","GAGE","NE",10,0.000599736116108912,1667.4,-18.491680085883,21595,96.5,0.7,2.4,97.6,16674,3.4,20.3,5,5.5,10.9,12.8,14.5,19.4,13.4,12.2,4.1,2.1,51662,64384,28438,5.2,9.8,4.7,5.6,35.2,22.3,12,14.7,5.5,89.7,20.2,98.4,1.6,25.36227,"0500000US31067","Midwest"
"434","GALLATIN","IL",11,0.00269080234833659,371.636363636364,-24.7210465563678,5157,96.7,0.2,1.5,98.5,4088,4.5,27.6,11.2,5,14.4,10.9,15.3,17,12.7,9.2,2.7,1.5,42500,57026,25572,14.4,19.6,4,8.1,40.7,27.7,9.7,7.4,2.5,88,9.9,99.2,0.8,15.96644,"0500000US17059","Midwest"
"435","GALLATIN","MT",32,0.000391902318347152,2551.65625,0.462037962037996,104729,94.3,0.3,3.6,96.4,81653,3.3,18,6,3.9,7.9,8.5,14.1,19,13.1,15.6,5.7,6.2,61499,84251,34331,5.1,11.9,1.2,2.1,18.8,22.5,6.4,31.7,17.4,96.7,49,96.6,3.4,40.20284,"0500000US30031","West"
"436","GALLIA","OH",26,0.00112277065250248,890.653846153846,-28.8915662650602,30195,94.4,2.4,1.3,98.7,23157,5.2,28.5,9.6,6.4,14,12.5,14.4,17.5,11.5,9.9,2.9,1.3,42113,56184,22588,17.1,22.5,5.7,12.5,40.7,16.2,9.6,9.7,5.6,81.8,15.3,99.1,0.9,64.72243,"0500000US39053","Midwest"
"437","GARDEN","NE",1,0.000692520775623269,1444,-35.0293542074364,1860,98.3,0.2,4.4,95.6,1444,1.4,17.4,8.4,4.1,9,14,17.3,20.9,11.9,10.3,2.3,1.7,44471,69655,33572,5.6,9.1,1.4,5.4,31.3,25.2,11.8,19.8,5.1,93.2,24.9,97.8,2.2,1.090624,"0500000US31069","Midwest"
"438","GARFIELD","MT",4,0.00443951165371809,225.25,-45.0509461426492,1141,99.9,0,0.2,99.8,901,0,12.1,4.7,6.7,12.5,12.5,17,19.2,9.2,11.6,3.6,2.9,45893,66344,27291,2.8,5.3,1.9,2.8,41.6,26,11,13.5,3.3,95.4,16.8,100,0,0.2439828,"0500000US30033","West"
"439","GARFIELD","NE",1,0.000636942675159236,1570,-37.1549893842887,1975,98.2,0.2,2,98,1570,0.2,12.1,5.1,8.5,9.6,8.7,21.8,20.5,10.8,7.9,5.2,1.9,48545,59320,27109,3.7,7.5,1.9,1.9,30.5,30.9,12.5,16.8,5.4,96.1,22.2,99.3,0.7,3.468989,"0500000US31071","Midwest"
"440","GARFIELD","OK",30,0.000685871056241427,1458,-28.4524159560913,62190,82.2,4.1,12.2,87.8,43740,5.1,16.9,4.6,5.2,13.7,10.8,14.5,20.6,11.5,12.8,3.5,2.9,51332,66329,26454,11.1,14.7,4.3,7.6,36.8,21.2,7.8,14.5,7.9,88.2,22.4,93.1,6.9,58.75345,"0500000US40047","South"
"441","GARVIN","OK",17,0.000841292621368833,1188.64705882353,-31.6481994459834,27823,83.4,2.4,8.5,91.5,20207,3.6,21.8,8.2,6.3,12.3,12,15.9,18.7,11.9,9.2,2.8,2.8,45066,58674,23020,10.6,16.2,4.9,9.4,45.1,21.7,4.4,10,4.5,85.7,14.5,96.7,3.3,34.68929,"0500000US40049","South"
"442","GASTON","NC",46,0.000285909627695941,3497.60869565217,-16.4673299273998,216585,76.9,16,6.8,93.2,160890,6.7,26,6.7,6.1,12.2,11.5,14.1,18.8,12.2,11.7,3.9,3,49384,66440,26069,11.8,15.6,4.9,10.3,30.8,23.2,10.1,14.4,6.1,84.7,20.6,94.5,5.5,608.8632,"0500000US37071","South"
"443","GATES","NC",6,0.000656311529205863,1523.66666666667,-4.6491728465488,11563,63.3,33.7,0.4,99.6,9142,6.8,37.1,5.6,3.5,10.3,11.6,16.2,22,12.1,13,4.1,1.5,52205,64725,25334,8.5,11.1,3.4,10.4,36.3,22.7,12.8,8.6,5.8,86.3,14.4,99.4,0.6,33.94769,"0500000US37073","South"
"444","GEAUGA","OH",78,0.00109381573411864,914.230769230769,-13.2416938655954,93961,96.7,1.2,1.4,98.6,71310,2.9,28.3,3.1,2.8,5.6,5.9,12.2,16.9,13.8,19.9,9.4,10.6,79956,112174,42149,4,6.1,5.9,3.6,25.1,19.7,7.6,24.6,13.6,90.5,38.1,97.4,2.6,234.7257,"0500000US39055","Midwest"
"445","GEORGETOWN","SC",34,0.000693806754412815,1441.32352941176,-6.6435388774879,61605,64.6,31.3,3.1,96.9,49005,8.5,25.6,8.1,6.6,12.4,10.3,14.1,14.9,13.2,11.6,4.3,4.5,48071,71010,29929,12.8,18.3,4.2,8.7,29,21.6,9.3,16.9,10.3,87.1,27.2,97.4,2.6,75.69249,"0500000US45043","South"
